attributes,Id,Title,Summary,UrlName,Language,PublishStatus,IsVisibleInPkb,IsVisibleInCsp,IsVisibleInPrm,CreatedDate,CreatedBy,LastModifiedDate,LastModifiedBy,KnowledgeArticleId,VersionNumber,IsLatestVersion,IsMasterLanguage,ArticleMasterLanguage
,ka0Hu0000029hZnIAI,Canada Pension Plan (CPP),"The Canada Pension Plan (CPP) retirement pension is a monthly, taxable benefit that replaces part of your income when you retire. If you qualify, you’ll receive the CPP retirement pension for the rest of your life.",Canada-Pension-Plan-CPP,en_US,Online,true,true,true,2025-09-11T21:24:41.000+0000,Jana Walker,2025-09-11T21:24:48.000+0000,Jana Walker,kA0Hu000002FNcEKAW,1,true,true,en_US
,ka0Hu0000029hZiIAI,Medical Service Plan (MSP),Instructions for applying to MSP if you are a newcomer to Canada.,How-do-I-apply-for-MSP-Medical-Service-Plan,en_US,Online,true,true,true,2025-09-11T20:57:57.000+0000,Jana Walker,2025-09-11T20:58:22.000+0000,Jana Walker,kA0Hu000002FN90KAG,3,true,true,en_US
,ka0Hu0000029hJ7IAI,Finding housing in Canada,There are many housing options in Canada. Learn about what to consider when looking for a place to live.,Finding-housing-in-Canada,en_US,Online,true,true,true,2025-09-11T17:18:33.000+0000,Jana Walker,2025-09-11T17:18:40.000+0000,Jana Walker,kA0Hu000002FNLdKAO,1,true,true,en_US
,ka0Hu0000029hJ2IAI,Working in Canada,There are many resources you can use to get help with your job search in Canada.,Working-in-Canada,en_US,Online,true,true,true,2025-09-11T17:03:24.000+0000,Jana Walker,2025-09-11T17:03:31.000+0000,Jana Walker,kA0Hu000002FNLYKA4,1,true,true,en_US
,ka0Hu0000029hIsIAI,Social Insurance Number (SIN),"If you are a Canadian citizen, a permanent resident or a temporary resident, you need a Social Insurance Number (SIN) to work in Canada or to receive benefits and services from government programs.",Social-Insurance-Number,en_US,Online,true,true,true,2025-09-11T16:43:32.000+0000,Jana Walker,2025-09-11T16:43:39.000+0000,Jana Walker,kA0Hu000002FNLTKA4,1,true,true,en_US
,ka0Hu0000029fZxIAI,401k rollover,What a 401k rollover is and how to initiate one.,401k-rollover,en_US,Online,false,false,false,2025-09-09T06:08:45.000+0000,Jana Walker,2025-09-09T06:08:45.000+0000,Jana Walker,kA0Hu000002FLGhKAO,1,true,true,en_US
,ka0Hu0000029fZyIAI,Credit account closing disclosure,This company must disclose to you when closing an account of yours that you have the right to dispute any adverse credit report item produced by the account closing.,Credit-account-closing-disclosure,en_US,Online,false,false,false,2025-09-09T06:08:45.000+0000,Jana Walker,2025-09-09T06:08:45.000+0000,Jana Walker,kA0Hu000002FLHBKA4,1,true,true,en_US
,ka0Hu0000029fZzIAI,Do you ship internationally?,Our global shipping program delivers to countries worldwide,Do-you-ship-internationally,en_US,Online,true,true,false,2025-09-09T06:08:45.000+0000,Jana Walker,2025-09-09T06:08:45.000+0000,Jana Walker,kA0Hu000002FLGeKAO,1,true,true,en_US
,ka0Hu0000029fa0IAA,Does your company offer discounts for non-profits?,We support non-profits and charities with discounted products and services.,Does-your-company-offer-discounts-for-non-profits,en_US,Online,true,true,true,2025-09-09T06:08:45.000+0000,Jana Walker,2025-09-09T06:08:45.000+0000,Jana Walker,kA0Hu000002FLGsKAO,1,true,true,en_US
,ka0Hu0000029fXVIAY,Why is my turbine not producing any energy?,"If your turbine is spinning, but not producing any energy, here is the most likely solution.",Why-is-my-turbine-not-producing-any-energy,en_US,Online,true,true,true,2025-09-09T06:08:45.000+0000,Jana Walker,2025-09-09T06:08:45.000+0000,Jana Walker,kA0Hu000002FLGaKAO,3,true,true,en_US
